study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score
18,54,7.2,9.2,2,39,54.66
10,78,7.7,6.1,4,86,76.33
10,84,6,3.5,8,93,93.75
20,42,8.4,7.6,9,62,81.89
8,83,8.2,6.2,0,64,62.9
6,70,6.6,5,4,53,65.38
14,80,8.1,9.7,7,74,84.92
11,82,4.5,2.4,6,93,87.86
13,92,7.8,1.3,1,70,77.79
4,89,6,5.6,0,99,68.99
2,52,6.6,6.6,7,86,70.24
7,57,6.7,9.3,7,92,71.15
20,91,5.2,2.4,8,31,87.22
3,54,9,9.2,7,45,54.77
5,71,8.7,3.6,4,83,78.11
16,55,6.3,2.3,3,95,90.57
5,95,4.3,8,6,73,76.02
17,57,8.1,3.5,4,92,95.95
15,74,6.4,4,8,78,92.94
11,95,4.9,7.3,9,79,87.03
14,42,5.6,5.3,6,79,83.58
5,71,8.8,2.1,9,72,86.75
15,46,6.6,5.1,2,82,78.47
5,44,6.3,9.7,5,80,61.16
11,94,7.4,5.8,5,92,95.35
2,79,4.3,6.7,4,59,56.57
14,46,7.8,7.3,1,86,67.16
10,97,4.1,3.9,0,67,65.37
14,49,5.2,4.7,10,53,74.03
3,79,8.4,6.6,3,93,76.48
5,54,6.3,3.3,4,31,51.25
15,97,5.4,5.9,1,86,89.27
19,59,7.2,4.8,4,88,95.23
7,64,8.3,2,6,75,78.56
10,41,8.9,6.9,4,31,51.02
2,98,7,5.5,4,59,64.08
12,54,7.2,6.6,10,47,75.88
2,59,7.9,1.3,5,46,50.41
10,60,7.7,2.6,2,99,85.16
12,73,6.5,3.5,2,62,74.72
16,91,5.5,8.8,1,89,87.9
5,88,8.8,8.7,10,80,90.97
18,63,4.5,4.6,4,98,87.03
12,83,7.7,3.4,6,77,83.89
8,70,4.1,9,8,71,76.4
8,81,4.3,8.4,4,82,66.01
2,100,4.2,10,1,42,38.86
18,48,5.9,4.3,8,83,93.63
5,96,6.1,1.9,7,82,90.39
9,42,7.5,3,7,60,73.67
4,83,5.8,9.1,10,75,71.34
9,52,8.8,9.5,7,41,61.31
20,41,4.3,4,2,56,63.03
18,53,6.9,8.3,3,72,78.92
20,40,5.4,9.9,2,99,77.59
6,47,7.3,1.2,0,75,61.79
8,77,5.6,2.6,0,46,56.67
17,47,7.7,5.3,5,95,91.31
15,72,5.1,6.5,10,96,98.14
1,43,9,8.6,6,43,44.73
15,44,8.5,3.9,2,38,54.91
20,80,6.9,7.4,6,97,100
17,78,6.2,8.1,1,100,89.19
7,67,6.3,3.1,5,88,76.69
4,60,6.1,7,5,49,54.16
16,44,4.5,1.8,6,42,71.54
12,91,4.7,1.5,8,72,93.33
14,62,8.4,9.5,6,36,70.3
20,59,5.8,6.2,3,49,73.59
8,94,4.5,8.6,5,44,64.05
19,54,8,8.6,9,33,77.31
9,41,4.9,7.3,4,73,58.54
6,95,4.7,6.9,1,48,55.78
1,45,7.7,2.9,6,88,65.58
12,59,7.6,8,9,40,74.27
5,50,7.8,1.4,1,64,55.08
14,71,7,4.7,3,95,82.42
14,47,5.4,7.1,7,97,88.34
2,54,6,6.4,0,56,37.32
7,89,4.7,3.3,5,45,58.18
14,51,4.6,5.8,3,94,78.37
12,44,6,7.7,6,32,54.02
3,95,5.6,4.9,6,83,73.94
13,41,8.8,2.5,9,88,96.79
12,45,6.2,2,6,81,80.58
13,95,5.6,4.1,5,51,72.19
4,73,6.5,9.2,5,74,66.18
5,55,4.5,3.3,2,49,50.47
3,51,8.8,6.7,7,87,73.48
19,81,7.2,6.6,10,70,96.6
3,70,6.2,3.7,4,37,47.56
3,59,6.3,1.3,5,66,57.83
3,79,7,4.5,9,100,93.4
2,68,8.5,6.1,3,71,60.36
17,49,8.8,5.1,5,40,70.26
6,42,5.2,4.9,7,97,75.31
6,63,5.9,3.5,6,73,72.88
2,90,7.2,4,5,42,58.64
13,58,5.3,8.7,9,49,69.06
19,82,4.7,4.1,10,80,100
3,59,6.8,6.8,5,46,52.05
17,45,7.2,4.8,5,32,62.74
6,100,5.1,9.5,7,54,64.34
5,49,4.4,8.6,1,94,59.48
17,42,7.3,8.9,9,46,75.23
5,50,4.9,7.2,9,51,61.53
2,66,5.8,7.5,7,66,63.79
15,54,6.7,3.8,7,54,75.65
19,68,6.3,3.5,6,94,100
6,92,5,6.4,4,36,56.49
12,75,8.7,7.4,8,45,72.81
6,57,6.2,5.6,6,41,60.05
8,92,6.3,4.1,0,83,66.3
17,63,5.2,10,5,58,66.03
4,93,7.6,4,2,47,52.03
16,84,8.2,7.8,7,87,98.62
3,41,5.3,8.5,8,97,68.09
10,55,5.5,1.4,6,88,77.1
16,78,6.7,6.7,9,60,91.26
10,67,4,4.2,9,83,81.6
3,73,8.9,1.6,8,99,89.12
17,75,4.1,8.9,0,79,77.64
9,87,4.1,8.1,5,60,69.87
4,89,6.9,7.8,2,35,45.36
11,92,7.2,8.5,10,89,100
16,80,4.9,2.2,7,34,74.2
2,90,5,1.4,4,95,75.68
18,70,5.3,7.8,3,66,74.34
2,95,7.3,3.5,5,85,81.68
15,97,8.8,4.1,2,93,97.11
12,99,8,3.4,1,84,79.7
20,92,4.9,3.6,1,40,71.42
10,59,6.2,7.5,2,86,66.71
2,86,8.4,4.2,6,65,71.25
2,44,7.4,4.7,8,50,61.21
5,94,7,8,0,46,44.61
12,63,5.9,6.1,9,49,76.28
12,63,6.2,1.7,2,97,81.09
11,81,5.4,9.6,0,53,54.82
13,98,6.8,3.4,4,87,88.93
20,58,7.5,10,3,45,63.73
3,68,4.9,7.4,1,70,52.19
3,75,6.7,9,2,52,51.01
17,54,4.6,2.8,2,60,73.6
1,63,6.8,4.3,8,46,58.45
3,44,5.5,10,7,97,65.23
14,92,6.9,2.1,5,39,76.18
17,62,4.6,8.5,8,53,80.03
5,67,6.5,8.8,1,96,59.69
6,50,5.6,7.4,5,96,74.96
3,56,5,9.6,4,46,43.6
20,74,4.5,6.8,9,49,82.55
20,86,8.5,4,9,35,95.4
1,45,4.2,6.8,9,63,57.8
19,66,7.1,1.3,10,99,100
10,70,5.2,8.3,6,68,70.28
2,50,6.2,5.4,3,73,54.62
11,95,7.6,7.6,5,81,80.74
12,72,6.8,3.9,7,45,70.87
8,49,4.5,3.6,6,83,69.43
6,92,5.6,6.2,5,54,68.28
16,72,6.3,8.9,7,32,63.94
13,72,6.3,3.2,9,75,86.24
10,71,7,8.6,10,90,87.98
1,94,4.5,2.2,4,76,70.57
12,42,6,6.1,3,76,67.24
3,64,6.5,7.9,4,45,42.74
4,65,5.9,9.9,8,76,70.49
7,78,6.5,5.5,0,34,41.54
11,91,6.4,5.1,9,95,95.31
20,60,4.8,9.9,4,73,78.95
17,74,6.4,6.1,7,32,72.2
4,66,6.9,8.2,10,33,58.94
9,81,7.9,8,9,59,81.29
19,70,4.9,6.7,9,78,91.95
8,42,6.9,7.3,3,32,42.17
14,49,6.1,2.8,8,90,95.84
2,85,4.7,2.9,5,91,74.7
11,51,6.3,5.8,8,75,80.72
9,79,6.4,9.6,4,68,64.03
10,89,5.4,2.9,7,70,83.99
18,99,8.7,7.5,4,45,82.37
18,64,8.5,4.6,5,48,76.29
10,85,4.4,9.3,10,62,82
7,52,8.1,3.4,8,64,68.67
20,87,6.9,3.2,10,97,100
8,43,4.5,4,7,42,58.52
5,40,8.8,9.8,2,82,57.29
16,70,7.3,7.8,4,71,77.08
2,98,7.8,6.9,3,98,78.62
2,98,8.6,4.8,2,34,56.99
13,90,6.5,9.4,4,34,56.91
19,78,4.5,9.8,4,88,93.47
18,73,6.5,9.4,8,89,94.12
4,61,4.8,5.1,4,53,46.08
11,90,5.5,7.1,3,52,67.23
13,92,6.1,4,6,42,72.04
5,70,5.6,3.2,4,79,65.75
9,61,5.5,7.5,0,63,54.89
8,43,7.3,5.2,2,81,65.34
10,84,4.6,9.2,4,77,73.3
8,48,6.4,5.1,9,77,76.17
18,98,6.4,5.8,10,57,100
20,95,7.9,5.7,8,76,100
19,47,4.3,5.9,8,55,79.98
5,50,5.6,5.7,1,56,48.22
16,45,8.5,5,0,88,71.23
14,69,6.8,6,10,69,92.69
13,56,8.1,7.7,9,39,65.46
12,84,4.3,9.9,1,90,66.84
14,51,7.8,7.9,10,83,88.9
13,68,8.3,9.2,6,40,68.65
18,48,7.3,4.1,2,98,85.98
5,86,8.9,8.5,0,68,57.94
18,67,6.7,8.4,3,88,83.34
9,52,8.7,7.5,1,34,48.95
14,79,7.8,9,0,60,61.58
4,78,4.2,6.4,0,61,51.43
13,68,5.2,3,0,47,58.59
10,54,8.1,7.6,5,71,66.86
5,82,6.6,4.7,4,37,55.5
19,96,7.7,2.6,10,84,100
2,62,8.7,7,8,70,69.9
14,49,5.5,2.7,8,90,87.64
8,59,8.3,2.3,7,37,65.36
14,75,6.6,4.5,4,56,72.33
3,99,6.2,4.3,8,54,66.21
13,83,7,1.4,1,54,74.71
19,86,7.4,3,3,72,88.92
1,53,8.7,9.7,1,91,59.06
20,85,5,9.2,8,71,97.36
13,69,6.7,4.2,4,76,79.94
16,69,4.5,9.8,7,70,85.22
12,60,6.1,6.1,3,48,54.21
18,99,6.9,7.5,4,49,77.28
8,64,6.8,3.2,8,73,76.85
16,86,7.2,5.4,2,75,79.17
18,71,4.9,9,10,37,78.72
3,100,8.1,1.4,0,82,66.27
8,44,7.5,1.1,8,88,82.18
20,80,7.3,6.5,7,92,98.65
18,75,6.1,1.2,4,98,100
1,72,8.1,7.1,2,43,48.74
17,49,5.2,6.6,4,75,73.4
13,45,5.9,4.7,9,61,83.21
8,59,7.4,8.6,10,34,57.75
13,64,6.8,1.5,0,51,57.55
14,81,7.9,6.1,1,97,90.66
8,53,8.5,7.2,9,90,81.3
3,83,8.6,9.1,9,34,56.02
11,41,8.8,6.3,6,39,57.4
19,55,6.8,8.6,10,99,100
5,90,8.9,7.5,8,74,75.02
14,54,8.2,4.1,9,80,97.67
11,41,7.2,8.1,7,92,76.23
18,100,5.9,2.7,9,78,100
20,58,8,7.4,1,64,70.35
5,87,5.9,4.2,1,30,51.65
15,63,7.8,1.9,1,53,68.28
18,75,6.6,1.9,1,75,84.62
20,78,7.9,8.8,0,67,75.95
3,86,8.5,9.1,3,96,68.13
13,50,4.7,3.7,7,48,63.3
14,57,6.1,5.4,1,76,66.79
8,86,7.1,6.3,3,88,72.8
10,40,8.7,4,9,78,86.09
11,68,5.7,8.3,10,47,70.45
20,100,7.5,5.3,2,80,100
10,87,7.5,5.4,9,61,82.46
9,92,7.9,4.3,9,55,84.59
18,51,7.4,6,7,56,79.69
10,93,7.5,8.4,6,93,84.92
10,55,5.3,2.4,6,78,72
20,70,6.9,5.8,6,99,97.22
12,84,8.5,5.8,10,40,76.71
8,82,7.3,2.5,9,35,73.32
13,88,5.7,8.2,1,31,49.92
8,72,7.7,6,9,58,75.59
13,69,7.9,6.3,8,49,75.27
1,70,4.5,4.7,1,44,43.48
5,62,5.6,5.1,3,96,69.42
16,46,6.2,7.3,5,38,59.44
4,41,8.2,6.8,10,51,66.85
8,73,4.9,2.4,8,84,90.43
8,91,6,2.7,10,85,94
20,96,5,6.3,6,30,81.36
7,57,7.8,8.3,1,43,48.8
18,51,5.8,2.8,1,63,73.36
16,73,8.8,3.8,6,80,95.25
12,62,8.2,6.6,10,68,90.96
19,45,7.4,3.8,3,69,74.43
12,84,4.7,4.5,9,47,79.64
14,51,6.4,5.8,10,52,79.09
16,58,4.7,3.8,7,36,74.53
1,71,4.7,8.3,8,94,73.63
14,83,6.5,7.4,7,92,90.36
19,41,8,3,0,65,68.05
10,50,7.9,6.1,7,100,86.41
19,47,5.3,5.9,5,99,95.18
2,88,7.6,5.9,6,43,61.45
8,59,8.4,1.3,4,74,78.28
3,68,8.3,2.1,3,56,62.09
19,84,5.8,7.4,10,84,100
5,90,5,2.9,0,74,63.09
20,74,4.8,9.8,4,67,80.93
17,97,7.4,1.9,6,37,90.64
5,84,8.3,3.2,5,61,73.8
13,71,4.7,6.7,10,83,89.89
3,80,8,7.9,6,95,80.4
12,69,8.8,3.9,0,41,61.08
15,80,7.3,4.2,1,98,87.23
14,92,5.1,3.4,4,73,85.29
5,76,8.3,8.1,10,36,59.31
15,41,4.6,8.7,7,88,74.18
14,52,9,9.2,10,68,80.71
9,45,7.3,3.3,5,51,56.23
10,86,7.5,3.1,10,41,83.24
1,53,6.4,2.2,3,96,67.39
1,40,7.5,8.4,6,46,43.43
8,64,4.4,8.3,1,70,53.59
10,48,5.9,8.3,2,48,44.2
19,40,7.1,2.5,5,57,79.86
5,98,6.1,7.2,3,41,59.88
5,88,4.6,7.6,5,84,69.79
5,55,5.4,1.8,8,66,73.28
1,94,8.2,8.9,3,96,72.22
7,87,6,6.8,3,93,75.08
8,71,7.2,1.6,0,76,72.4
5,64,8.3,6.1,5,99,80.16
16,89,4.4,6.3,0,63,67.02
2,100,7.9,5.6,10,94,94.69
14,84,6,6.8,8,49,76.93
10,45,6.6,2.8,2,98,72.89
19,80,7.8,6.8,10,38,85.98
14,86,8.8,3.1,3,41,78.06
4,69,7.1,1.5,10,52,68.5
5,84,4.1,5.5,5,96,77.53
9,50,5.9,7.7,4,45,55.44
1,61,8,3.4,1,63,52.9
19,80,4.4,5.1,5,37,74.48
19,50,5.8,3.3,1,44,61.2
17,40,4.2,8.8,3,35,52
13,98,4.8,9.4,0,100,84
14,54,5.6,4.7,5,64,77.03
19,63,4.6,7.1,0,52,60.15
17,42,8.8,1.6,7,66,90.04
10,60,4.4,5.1,5,55,60.68
10,87,7.1,5.2,9,93,100
7,86,8.5,7.8,3,49,54.68
14,41,5.2,4.1,0,72,56.21
13,94,7.7,3.8,3,97,99.64
14,71,8.8,9.8,2,65,65.03
8,97,8.2,4.7,5,88,93.28
3,77,4.5,2.2,6,39,56.85
2,67,7.3,2.2,4,63,64.52
13,84,8.2,3.9,7,64,84.24
7,48,7.9,6.3,2,43,43.25
15,60,6,5.8,3,87,78
9,94,4.6,2.4,10,68,93.24
20,42,5.1,8.7,2,41,61.25
12,65,6.6,7.1,4,52,59.04
13,94,6.3,7.7,3,42,65.8
5,47,4.1,8.5,3,46,37.05
13,63,7.4,9.4,1,63,67.14
3,41,9,2.8,10,86,82.86
3,97,8.2,8.3,1,35,51.8
2,50,8.6,4.9,6,93,65.67
14,51,5.8,9.2,4,65,65.66
5,42,7.1,6.6,10,67,68.71
18,70,4.3,3.5,2,83,80.15
17,55,7.2,8.2,0,78,74.27
12,70,6.7,5.4,9,94,93.4
9,51,4.1,6.4,0,65,45.47
16,73,5.8,6.3,3,50,64.71
8,57,6.7,8.1,0,58,50.3
13,62,8.7,9.9,2,52,57.58
11,91,7.7,4.2,9,33,79.73
12,100,6.8,2.3,3,93,93.17
6,71,4.2,1.5,9,58,67.53
16,40,5.7,6.5,2,73,70.54
11,43,4.1,6.3,2,44,52.03
12,44,5.9,9.5,6,42,54.62
11,48,8.9,7.6,6,92,83.37
6,85,8.8,7.2,9,75,80.09
19,92,4.9,3.8,4,46,76.91
1,100,7.5,6.2,9,34,58.88
11,98,8,6.5,10,43,88.54
5,61,7.7,3.1,5,51,61.92
3,92,7.5,6.8,5,87,69.64
7,55,7.5,4.2,1,30,37.83
15,86,6.1,2.5,6,93,100
12,74,5.9,8.5,9,58,74.03
3,91,8.2,3.7,5,63,75.01
3,61,4.9,4.4,1,100,68.73
3,61,7,6.5,7,33,49.43
6,78,8.4,2.4,1,72,63.65
7,66,7.5,7.5,8,63,73.23
10,55,4.5,4.5,8,92,79.89
12,40,6.1,3.7,10,91,86.42
1,53,4.9,3.6,1,90,59.36
10,90,6,5.4,10,63,81.59
18,64,4.9,9,5,53,71.43
9,68,6.3,3,4,37,54.47
4,45,7.3,8.3,6,59,55.15
13,92,6.6,9.7,10,90,99.59
8,70,5.5,4.6,0,94,69.95
17,91,6.9,9.8,2,45,74.52
15,51,8.7,2.5,3,54,66.9
14,45,8.9,4.9,10,48,83.24
9,60,8.6,9.2,1,41,46.88
13,75,5.6,3.5,7,31,72.71
20,77,6.6,4.8,6,49,80.95
19,77,7.8,9.5,1,42,70.04
18,96,5.7,4.7,6,92,100
16,42,4.9,4.6,9,81,82.45
11,84,5.2,7.7,4,77,69.88
10,59,5.4,5.4,10,42,75.3
8,48,5.5,7.7,5,64,62.25
20,81,4.4,5,6,92,100
12,92,4.3,8.1,1,69,70.37
13,48,7.9,5.7,9,33,64.36
7,93,4.3,1.3,0,76,70.47
9,63,8.1,5.5,10,45,75.64
8,63,6.4,5,7,100,84.03
6,93,8.5,7.7,1,66,57.68
2,50,8.3,8,3,58,49.03
7,57,7.3,5.6,10,31,62
5,81,4.9,8.2,3,62,58.13
10,85,8.8,6.8,6,78,88.63
15,56,5.1,3.7,8,80,89.53
1,72,9,9.7,5,66,55.58
4,70,4.3,9.9,10,71,73.5
9,81,7.6,9,4,54,60.07
8,97,4.3,8.7,9,81,86.84
5,86,4.1,5.5,4,63,67.3
13,64,7.7,6.2,9,54,78.06
8,83,6.7,8.1,10,75,84.78
6,93,7.3,6,4,42,60.26
9,86,8,7.9,2,72,71.75
8,62,5.1,8.8,6,72,65.28
19,58,6.3,2.1,0,39,63.73
7,72,4.6,7.1,8,68,70.68
5,48,9,4.1,9,88,76.92
6,89,4.4,4,2,70,66.54
1,68,5.4,7.9,2,50,41.35
3,48,7.1,6.7,6,84,70.7
13,40,4.2,2.8,5,31,59.84
17,52,4.1,1,3,58,74.54
12,59,4.6,4.5,9,69,77.17
2,59,8.7,5.1,8,97,77.54
5,61,9,5.4,3,51,60.53
13,41,5.1,7.5,2,57,58.38
19,72,4.8,4.3,10,34,82.06
9,89,6.7,1.4,0,43,61.43
1,43,7.4,4.8,6,45,48.1
16,84,4.8,7.3,10,31,75.47
4,82,6.6,6.6,2,83,69.39
4,72,7.6,2.1,1,43,50.39
20,52,7.9,8.5,3,75,83.02
10,50,4.2,5.5,3,91,68.01
1,40,7.4,9.2,9,93,63.97
3,89,6.6,7.5,1,62,55.9
15,58,5.3,1.5,2,35,64.49
12,91,7.4,4.8,1,42,68.04
2,40,8.3,7,2,72,47.45
15,79,5.3,7.6,5,73,77.4
13,65,8.8,3.4,6,91,96.11
6,47,4.7,7.5,2,43,39.48
19,70,8,7.1,2,78,87.45
20,41,8.3,8.9,2,91,87.15
4,96,6.1,1.4,4,70,66.87
17,89,7.7,7.5,3,73,85.52
20,46,6.2,7.5,7,74,88.4
13,49,8.2,6,9,36,63.93
6,72,8.2,8.7,2,39,51.16
11,55,5.7,3.5,8,58,75
13,65,8.1,1.7,7,87,89.03
16,68,5.6,9.8,10,32,67.95
14,42,6.8,1,1,68,72.74
18,53,7.3,5.1,5,76,89.21
8,94,6.3,6,9,90,95.46
12,85,6.3,1.9,10,58,84.14
12,93,7.2,8.2,8,96,96.18
4,42,8.5,5.4,6,43,48.75
7,52,4.6,8.7,3,88,66.01
7,85,5.7,7.8,0,45,52.06
15,69,7.3,9.6,2,93,74.56
2,75,8.7,8.5,7,95,80.46
6,84,6.9,7.6,2,43,50.93
20,78,8.4,5.5,6,83,100
8,57,6,4.1,4,87,76.61
5,66,7,9,8,68,72.32
18,95,5.6,7.6,8,57,86.68
20,85,5.5,4.1,10,46,99.93
6,72,6.7,6.7,1,75,61.29
19,76,8.7,7.4,10,98,100
14,91,4.1,2,6,48,73.71
2,52,5.3,8.1,4,62,43.62
2,84,7.9,2.8,8,34,60.18
15,46,7.1,7.1,8,58,79.13
18,64,5.2,8.1,4,36,69.46
13,66,8.8,9.8,5,100,82.41
9,52,7.1,8,7,58,70.56
12,88,6.9,7.6,3,54,66.41
6,83,4.4,9.7,8,45,59.46
14,57,6.8,2.2,9,62,79.88
15,85,8.7,1.4,5,36,81.47
20,93,7.3,5.4,9,100,100
11,73,5.1,2.7,1,94,73.88
18,74,6,4.1,3,72,81.97
10,53,8.8,6.6,7,31,55.39
12,68,5.2,6.8,9,61,84.15
11,64,8.6,9.5,6,62,71.8
10,41,8.6,8.4,5,95,79.8
15,71,4.2,9.1,3,71,71.36
4,50,8.9,8,8,30,52.3
7,82,7.1,2.9,10,84,96.25
7,74,8.1,8.9,6,39,61.58
5,41,6.3,4,1,39,33.76
9,75,4.4,8.4,4,82,69.39
13,67,5.6,4.5,1,98,73.94
20,44,7.8,6.3,1,75,81.4
4,58,7.9,3.7,1,66,58.06
15,64,6,6.9,7,50,74.6
5,87,6,8.2,8,67,78.17
5,59,7.4,9.2,10,77,80.22
1,75,8.4,2.3,0,30,40.9
13,74,6.7,1.8,3,74,76.98
17,49,4.8,3,4,54,66.29
19,94,4.3,7.8,8,89,100
3,58,7.4,3.3,3,92,73.4
12,48,7.4,3.1,4,38,64.58
11,71,6.3,6.5,4,49,64.5
12,91,5.6,4.9,0,70,67.52
8,85,7.7,4.9,5,47,69.54
11,96,6.4,5,4,92,89.4
6,81,7,8.6,2,98,69.01
3,86,4.4,1.2,8,33,64.63
19,65,7.8,2.9,0,100,88.34
18,70,7.3,2.3,6,58,92.06
19,86,8.3,2.2,8,95,100
12,72,4.1,3.1,9,51,81.11
5,68,4.8,6.1,9,48,65.99
16,100,5.8,3,7,59,86.71
12,54,4.2,2.9,5,79,75.88
15,96,4.2,9.8,5,43,72.38
17,80,8.1,8.5,4,99,95.96
13,81,5.9,6.3,1,96,78.15
8,73,6,8.4,5,92,80.36
20,40,6.5,2.3,2,59,68.43
9,53,4.8,2.4,9,45,69.84
14,91,5.7,2,10,91,100
19,50,7.2,4.7,3,35,61.07
19,50,4.7,5.6,9,48,74.71
9,99,4.9,9.6,9,32,71.67
10,100,4.4,5,7,91,88.13
14,78,4.7,6.2,2,95,79.51
11,99,6.3,6.3,3,78,78.94
4,41,5,8.7,8,83,68.27
20,46,4.9,9.1,9,34,76.21
18,72,7.8,1.8,10,46,97.78
18,92,4,9.4,10,85,100
12,95,4.2,5.8,3,91,87.46
13,62,6.9,7.7,9,42,71.29
9,70,7.8,9.2,1,66,60.94
18,66,5.3,1,0,96,82.67
1,64,7.3,7.2,5,82,61.21
5,67,7.3,3.3,8,84,81.69
20,57,9,4.6,3,82,90.48
18,70,4.9,6,7,62,90.44
19,62,7.9,4.6,2,45,74.25
15,90,7.5,2.5,3,95,94.91
11,91,6.8,7.3,0,50,58.78
1,91,4.5,2.3,9,85,76.21
9,54,5.9,6.5,6,81,74.55
17,58,7.6,6.4,2,93,83.59
7,94,7.3,8.2,4,54,59.36
20,72,6.6,3.1,2,34,69.14
1,50,4.4,3.5,6,75,61.02
13,77,5,1.1,1,41,62.85
18,98,6.9,4.1,4,58,88.96
7,69,8.6,6.2,4,52,60.36
4,75,4.4,3.6,1,95,72.11
18,92,8,3.3,7,78,100
8,88,5.7,8,10,88,94.8
1,70,4.6,1.6,10,58,70.24
8,91,5.6,9.6,8,98,82.79
9,55,5.4,4.6,5,39,56.38
6,70,5.6,3,9,64,71.81
7,71,7.7,3.1,3,63,62.67
7,93,5.2,6.6,2,43,50.43
3,83,8.8,5.4,0,99,75.51
16,63,7.1,5.4,9,65,88.56
17,57,6,7.8,2,36,58.26
14,70,8.7,1.3,5,80,94.96
